calendar-years,week-number,V4_1,administrative-geography,recorded-deaths
2013,week-3,11075,K04000001,total-registered-deaths
2013,week-4,11262,K04000001,total-registered-deaths
2013,week-5,11314,K04000001,total-registered-deaths
2013,week-6,11044,K04000001,total-registered-deaths
2013,week-7,11030,K04000001,total-registered-deaths
2013,week-8,10850,K04000001,total-registered-deaths
2013,week-9,10783,K04000001,total-registered-deaths
2013,week-10,11245,K04000001,total-registered-deaths
2013,week-11,11180,K04000001,total-registered-deaths
2013,week-12,11075,K04000001,total-registered-deaths
2013,week-13,9280,K04000001,total-registered-deaths
2013,week-14,10890,K04000001,total-registered-deaths
2013,week-15,12147,K04000001,total-registered-deaths
2013,week-16,11752,K04000001,total-registered-deaths
2013,week-17,10625,K04000001,total-registered-deaths
2013,week-18,10169,K04000001,total-registered-deaths
2013,week-19,8814,K04000001,total-registered-deaths
2013,week-20,9847,K04000001,total-registered-deaths
2013,week-21,9530,K04000001,total-registered-deaths
2013,week-22,8333,K04000001,total-registered-deaths
2013,week-23,9482,K04000001,total-registered-deaths
2013,week-24,8869,K04000001,total-registered-deaths
2013,week-25,8904,K04000001,total-registered-deaths
2013,week-26,8589,K04000001,total-registered-deaths
2013,week-27,8790,K04000001,total-registered-deaths
2013,week-28,8533,K04000001,total-registered-deaths
2013,week-29,8790,K04000001,total-registered-deaths
2013,week-30,8476,K04000001,total-registered-deaths
2013,week-31,8159,K04000001,total-registered-deaths
2013,week-32,8280,K04000001,total-registered-deaths
2013,week-33,8231,K04000001,total-registered-deaths
2013,week-34,8579,K04000001,total-registered-deaths
2013,week-35,7688,K04000001,total-registered-deaths
2013,week-36,8905,K04000001,total-registered-deaths
2013,week-37,8347,K04000001,total-registered-deaths
2013,week-38,8635,K04000001,total-registered-deaths
2013,week-39,9155,K04000001,total-registered-deaths
2013,week-40,9191,K04000001,total-registered-deaths
2013,week-41,8939,K04000001,total-registered-deaths
2013,week-42,9237,K04000001,total-registered-deaths
2013,week-43,9236,K04000001,total-registered-deaths
2013,week-44,9107,K04000001,total-registered-deaths
2013,week-45,9449,K04000001,total-registered-deaths
2013,week-46,9583,K04000001,total-registered-deaths
2013,week-47,9587,K04000001,total-registered-deaths
2013,week-48,9636,K04000001,total-registered-deaths
2013,week-49,9908,K04000001,total-registered-deaths
2013,week-50,10033,K04000001,total-registered-deaths
2013,week-51,10335,K04000001,total-registered-deaths
2013,week-52,6606,K04000001,total-registered-deaths
2014,week-1,11448,K04000001,total-registered-deaths
2014,week-2,11847,K04000001,total-registered-deaths
2014,week-3,11061,K04000001,total-registered-deaths
2014,week-4,10374,K04000001,total-registered-deaths
2014,week-5,10258,K04000001,total-registered-deaths
2014,week-6,10147,K04000001,total-registered-deaths
2014,week-7,10198,K04000001,total-registered-deaths
2014,week-8,10427,K04000001,total-registered-deaths
2014,week-9,10377,K04000001,total-registered-deaths
2014,week-10,9828,K04000001,total-registered-deaths
2014,week-11,10005,K04000001,total-registered-deaths
2014,week-12,9832,K04000001,total-registered-deaths
2014,week-13,9622,K04000001,total-registered-deaths
2014,week-14,9944,K04000001,total-registered-deaths
2014,week-15,9504,K04000001,total-registered-deaths
2014,week-16,8000,K04000001,total-registered-deaths
2014,week-17,9359,K04000001,total-registered-deaths
2014,week-18,10527,K04000001,total-registered-deaths
2014,week-19,8613,K04000001,total-registered-deaths
2014,week-20,9513,K04000001,total-registered-deaths
2014,week-21,9313,K04000001,total-registered-deaths
2014,week-22,8034,K04000001,total-registered-deaths
2014,week-23,9557,K04000001,total-registered-deaths
2014,week-24,9414,K04000001,total-registered-deaths
2014,week-25,8946,K04000001,total-registered-deaths
2014,week-26,8931,K04000001,total-registered-deaths
2014,week-27,8763,K04000001,total-registered-deaths
2014,week-28,8784,K04000001,total-registered-deaths
2014,week-29,9119,K04000001,total-registered-deaths
2014,week-30,8965,K04000001,total-registered-deaths
2014,week-31,8916,K04000001,total-registered-deaths
2014,week-32,8755,K04000001,total-registered-deaths
2014,week-33,8792,K04000001,total-registered-deaths
2014,week-34,8769,K04000001,total-registered-deaths
2014,week-35,8027,K04000001,total-registered-deaths
2014,week-36,9671,K04000001,total-registered-deaths
2014,week-37,9284,K04000001,total-registered-deaths
2014,week-38,9107,K04000001,total-registered-deaths
2014,week-39,9048,K04000001,total-registered-deaths
2014,week-40,9271,K04000001,total-registered-deaths
2014,week-41,9173,K04000001,total-registered-deaths
2014,week-42,9464,K04000001,total-registered-deaths
2014,week-43,9603,K04000001,total-registered-deaths
2014,week-44,9586,K04000001,total-registered-deaths
2014,week-45,9753,K04000001,total-registered-deaths
2014,week-46,10036,K04000001,total-registered-deaths
2014,week-47,9472,K04000001,total-registered-deaths
2014,week-48,9928,K04000001,total-registered-deaths
2014,week-49,10267,K04000001,total-registered-deaths
2014,week-50,10550,K04000001,total-registered-deaths
2014,week-51,11681,K04000001,total-registered-deaths
2014,week-52,7837,K04000001,total-registered-deaths
2015,week-1,12286,K04000001,total-registered-deaths
2015,week-2,16237,K04000001,total-registered-deaths
2015,week-3,14866,K04000001,total-registered-deaths
2015,week-4,13934,K04000001,total-registered-deaths
2015,week-5,12900,K04000001,total-registered-deaths
2015,week-6,12039,K04000001,total-registered-deaths
2015,week-7,11822,K04000001,total-registered-deaths
2015,week-8,11434,K04000001,total-registered-deaths
2015,week-9,11472,K04000001,total-registered-deaths
2015,week-10,11469,K04000001,total-registered-deaths
2015,week-11,10951,K04000001,total-registered-deaths
2015,week-12,10568,K04000001,total-registered-deaths
2015,week-13,10493,K04000001,total-registered-deaths
2015,week-14,9062,K04000001,total-registered-deaths
2015,week-15,10089,K04000001,total-registered-deaths
2015,week-16,11639,K04000001,total-registered-deaths
2015,week-17,10599,K04000001,total-registered-deaths
2015,week-18,10134,K04000001,total-registered-deaths
2015,week-19,8862,K04000001,total-registered-deaths
2015,week-20,10290,K04000001,total-registered-deaths
2015,week-21,10005,K04000001,total-registered-deaths
2015,week-22,8213,K04000001,total-registered-deaths
2015,week-23,10157,K04000001,total-registered-deaths
2015,week-24,9548,K04000001,total-registered-deaths
2015,week-25,9312,K04000001,total-registered-deaths
2015,week-26,9190,K04000001,total-registered-deaths
2015,week-27,9205,K04000001,total-registered-deaths
2015,week-28,9015,K04000001,total-registered-deaths
2015,week-29,8802,K04000001,total-registered-deaths
2015,week-30,8791,K04000001,total-registered-deaths
2015,week-31,8617,K04000001,total-registered-deaths
2015,week-32,8862,K04000001,total-registered-deaths
2015,week-33,9148,K04000001,total-registered-deaths
2015,week-34,9121,K04000001,total-registered-deaths
2015,week-35,9026,K04000001,total-registered-deaths
2015,week-36,7878,K04000001,total-registered-deaths
2015,week-37,9258,K04000001,total-registered-deaths
2015,week-38,9097,K04000001,total-registered-deaths
2015,week-39,9529,K04000001,total-registered-deaths
2015,week-40,9410,K04000001,total-registered-deaths
2015,week-41,9776,K04000001,total-registered-deaths
2015,week-42,9511,K04000001,total-registered-deaths
2015,week-43,9711,K04000001,total-registered-deaths
2015,week-44,9618,K04000001,total-registered-deaths
2015,week-45,9994,K04000001,total-registered-deaths
2015,week-46,9938,K04000001,total-registered-deaths
2015,week-47,9830,K04000001,total-registered-deaths
2015,week-48,9822,K04000001,total-registered-deaths
2015,week-49,10365,K04000001,total-registered-deaths
2015,week-50,10269,K04000001,total-registered-deaths
2015,week-51,10689,K04000001,total-registered-deaths
2015,week-52,8630,K04000001,total-registered-deaths
2015,week-53,7524,K04000001,total-registered-deaths
2016,week-1,13045,K04000001,total-registered-deaths
2016,week-2,11501,K04000001,total-registered-deaths
2016,week-3,11473,K04000001,total-registered-deaths
2016,week-4,11317,K04000001,total-registered-deaths
2016,week-5,11052,K04000001,total-registered-deaths
2016,week-6,11170,K04000001,total-registered-deaths
2016,week-7,10590,K04000001,total-registered-deaths
2016,week-8,11056,K04000001,total-registered-deaths
2016,week-9,11285,K04000001,total-registered-deaths
2016,week-10,11010,K04000001,total-registered-deaths
2016,week-11,11022,K04000001,total-registered-deaths
2016,week-12,9635,K04000001,total-registered-deaths
2016,week-13,10286,K04000001,total-registered-deaths
2016,week-14,11599,K04000001,total-registered-deaths
2016,week-15,11417,K04000001,total-registered-deaths
2016,week-16,10925,K04000001,total-registered-deaths
2016,week-17,10413,K04000001,total-registered-deaths
2016,week-18,9137,K04000001,total-registered-deaths
2016,week-19,10637,K04000001,total-registered-deaths
2016,week-20,9953,K04000001,total-registered-deaths
2016,week-21,9739,K04000001,total-registered-deaths
2016,week-22,7909,K04000001,total-registered-deaths
2016,week-23,9873,K04000001,total-registered-deaths
2016,week-24,9386,K04000001,total-registered-deaths
2016,week-25,9365,K04000001,total-registered-deaths
2016,week-26,9228,K04000001,total-registered-deaths
2016,week-27,9138,K04000001,total-registered-deaths
2016,week-28,9388,K04000001,total-registered-deaths
2016,week-29,9350,K04000001,total-registered-deaths
2016,week-30,9335,K04000001,total-registered-deaths
2016,week-31,9182,K04000001,total-registered-deaths
2016,week-32,9172,K04000001,total-registered-deaths
2016,week-33,9070,K04000001,total-registered-deaths
2016,week-34,9319,K04000001,total-registered-deaths
2016,week-35,7923,K04000001,total-registered-deaths
2016,week-36,9399,K04000001,total-registered-deaths
2016,week-37,9124,K04000001,total-registered-deaths
2016,week-38,8945,K04000001,total-registered-deaths
2016,week-39,8994,K04000001,total-registered-deaths
2016,week-40,9291,K04000001,total-registered-deaths
2016,week-41,9719,K04000001,total-registered-deaths
2016,week-42,9768,K04000001,total-registered-deaths
2016,week-43,9724,K04000001,total-registered-deaths
2016,week-44,10152,K04000001,total-registered-deaths
2016,week-45,10470,K04000001,total-registered-deaths
2016,week-46,10694,K04000001,total-registered-deaths
2016,week-47,10603,K04000001,total-registered-deaths
2016,week-48,10439,K04000001,total-registered-deaths
2016,week-49,11223,K04000001,total-registered-deaths
2016,week-50,10533,K04000001,total-registered-deaths
2016,week-51,11493,K04000001,total-registered-deaths
2016,week-52,8003,K04000001,total-registered-deaths
2017,week-1,11991,K04000001,total-registered-deaths
2017,week-2,13715,K04000001,total-registered-deaths
2017,week-3,13610,K04000001,total-registered-deaths
2017,week-4,12877,K04000001,total-registered-deaths
2017,week-5,12485,K04000001,total-registered-deaths
2017,week-6,12269,K04000001,total-registered-deaths
2017,week-7,11644,K04000001,total-registered-deaths
